"","logFC","logCPM","LR","PValue","FDR"
"100287718",5.36206306417471,1.15129358073411,36.5701201362196,1.4727196653225e-09,4.08900615076791e-05
"149499",3.93683549768816,0.771859385988576,28.0699385636815,1.17009349024981e-07,0.0016243822878393
"105369214",5.56058002166663,0.405398442444902,26.2763208766408,2.95894435833808e-07,0.00237323024495816
"164284",4.23892976183769,-0.334248209471556,25.9972590406594,3.41902430391955e-07,0.00237323024495816
"200162",2.91117152860172,3.65203987722929,24.4890946039425,7.4731625039631e-07,0.00414984713845071
"144809",4.85109658951145,1.07950746830435,23.6019570800833,1.18466966476646e-06,0.00548205887370678
"8701",1.89303249746223,4.35432015828534,20.9422468784528,4.73339629072103e-06,0.0171277970155691
"91807",2.94630672906633,2.35816972485607,20.8623205819733,4.93507567529453e-06,0.0171277970155691
"105378597",2.33238610772021,1.71247517845997,20.6062628370899,5.64112718676075e-06,0.0174028773711569
"100652824",2.29704014078108,2.82013641052143,20.1965874194733,6.98774822498783e-06,0.0183645781491915
"140862",2.66392805646174,0.379418037120819,20.1193408361934,7.27571977817779e-06,0.0183645781491915
"1770",2.63683258158976,2.64925244565517,19.4556234792875,1.02964240960923e-05,0.0213041947873847
"401124",2.47994795373188,1.97666038064603,19.3640869980935,1.08019445484924e-05,0.0213041947873847
"80217",1.77115131514221,4.95287872296604,19.2758017973061,1.13131101385738e-05,0.0213041947873847
"84332",3.84871502865053,1.90995836471662,19.1431133534789,1.21274271144725e-05,0.0213041947873847
"55036",1.72567639809011,3.01524183113674,19.1197382418422,1.22768635547688e-05,0.0213041947873847
"401022",-1.27495538322376,2.9639385832869,18.5634109055675,1.64344899385747e-05,0.02627877749268
"83450",1.87221805296523,2.47576866856575,18.4948407962601,1.70364845981718e-05,0.02627877749268
"129881",1.55825121712232,5.67987018172938,18.3533280674761,1.8349817238134e-05,0.0268148776640416
"101929072",4.33616561828083,-0.279679367847586,18.2378144466269,1.94969269530365e-05,0.0270666088425529
"5332",1.15308242522988,4.33262857775539,17.8729659522788,2.36152011754829e-05,0.0312226695541563
"79740",2.15869344815956,3.46788245980897,17.597847155323,2.72897107653718e-05,0.0328448978116856
"3568",4.39980411102923,-0.240573561678956,17.5845235917171,2.748158048725e-05,0.0328448978116856
"101928817",1.58897417969952,2.82767342087604,17.5226149589224,2.83910515930292e-05,0.0328448978116856
"387885",2.54638428525732,1.26480944569456,17.1988232393687,3.36644820282131e-05,0.0373877737405335
"55785",1.21323934208227,3.5979241883701,16.8478647492485,4.04988676293274e-05,0.0424492675933697
"144406",1.83004662686639,2.35406730428603,16.8116238139311,4.12796767520613e-05,0.0424492675933697
"114792",-0.991032256607645,5.64069416370498,16.7053400446104,4.36579366288291e-05,0.0425988286598067
"55779",1.28266350366389,5.37616872188722,16.6543679839828,4.48469182603098e-05,0.0425988286598067
"105375483",-1.71606413506432,1.90647058859331,16.6050661412733,4.60279077901747e-05,0.0425988286598067
"729224",3.06430077932141,0.592213508928009,16.3264765467974,5.33138323843065e-05,0.0477502760048474
"339829",1.72191518960707,2.52434587567658,16.1265250741387,5.92483791599823e-05,0.0514072264805284
"126820",2.38216228507791,3.02502961761975,15.938136604548,6.54466719229848e-05,0.0542628058394633
"146177",1.70530415862707,4.53804113557535,15.9093897400109,6.64482405381506e-05,0.0542628058394633
"26166",1.82911178521898,3.74021992833994,15.7126196448205,7.37306112291528e-05,0.0572803870324132
"5549",1.13374305477269,4.56172977514098,15.6222381289393,7.73396702837527e-05,0.0572803870324132
"101928834",3.71025330393538,-0.541212717714368,15.6218613870245,7.73550801899852e-05,0.0572803870324132
"6363",2.8296926344052,0.581223149425611,15.5721936770718,7.94139292839285e-05,0.0572803870324132
